108.0;8.643;-0.289;4.575;
108.009995;8.672;-0.123;4.522;
108.02;8.545;-0.065;4.558;
108.03;8.515;-0.026;4.617;
108.04;8.518;-0.069;4.678;
108.049995;8.717;-0.183;4.612;
108.06;8.761;-0.35;4.817;
108.07;8.826;-0.428;4.662;
108.079994;8.863;-0.397;4.824;
108.09;8.678;-0.193;4.883;
108.1;8.703;-0.068;4.926;
108.10999;8.717;0.008;4.859;
108.119995;8.73;0.116;4.714;
108.13;8.603;0.152;4.571;
108.14;8.645;0.025;4.61;
108.149994;8.563;0.01;4.62;
108.159996;8.578;-0.031;4.792;
108.17;8.582;0.135;5.083;
108.17999;8.54;0.239;5.183;
108.189995;8.573;0.334;5.19;
108.2;8.555;0.247;5.164;
108.21;8.723;0.114;5.092;
108.21999;8.74;0.086;4.95;
108.229996;8.706;0.11;4.831;
108.24;8.687;0.175;4.783;
108.24999;8.688;0.243;4.692;
108.259995;8.672;0.293;4.61;
108.27;8.651;0.305;4.613;
108.27999;8.612;0.311;4.607;
108.28999;8.554;0.318;4.872;
108.299995;8.582;0.359;4.873;
108.31;8.546;0.421;4.787;
108.31999;8.567;0.43;4.634;
108.329994;8.597;0.416;4.594;
108.34;8.606;0.488;4.454;
108.34999;8.675;0.372;4.597;
108.35999;8.585;0.266;4.516;
108.369995;8.557;0.314;4.518;
108.37999;8.607;0.274;4.48;
108.38999;8.739;0.193;4.524;
108.4;8.939;0.215;4.476;
108.41;8.976;0.047;4.539;
108.42;8.915;-0.035;4.468;
108.43;8.784;0.004;4.537;
108.44;8.739;0.052;4.513;
108.45;8.708;0.274;4.437;
108.46;8.747;0.372;4.404;
108.47;8.809;0.379;4.486;
108.48;8.743;0.445;4.399;
108.49;8.735;0.52;4.683;
108.5;8.736;0.55;4.768;
108.51;8.678;0.531;4.859;
108.52;8.699;0.448;4.818;
108.53;8.761;0.197;4.609;
108.54;8.767;0.152;4.577;
108.549995;8.807;0.186;4.519;
108.56;8.8;0.314;4.559;
108.57;8.809;0.503;4.477;
108.58;8.697;0.492;4.386;
108.59;8.621;0.438;4.348;
108.6;8.606;0.389;4.292;
108.61;8.753;0.289;4.391;
108.619995;8.82;0.31;4.556;
108.63;8.861;0.397;4.533;
108.64;8.84;0.465;4.57;
108.649994;8.74;0.581;4.48;
108.659996;8.761;0.503;4.425;
108.67;8.801;0.402;4.453;
108.68;8.784;0.252;4.617;
108.689995;8.819;0.454;4.397;
108.7;8.788;0.616;4.48;
108.71;8.795;0.73;4.528;
108.71999;8.837;0.742;4.456;
108.729996;8.822;0.537;4.564;
108.74;8.866;0.415;4.587;
108.74999;8.804;0.454;4.508;
108.759995;8.824;0.535;4.405;
108.77;8.82;0.626;4.318;
108.78;8.85;0.609;4.361;
108.78999;8.8;0.543;4.473;
108.799995;8.8;0.499;4.423;
108.81;8.866;0.543;4.434;
108.81999;8.894;0.585;4.358;
108.829994;8.872;0.664;4.294;
108.84;8.852;0.626;4.251;
108.85;8.784;0.474;4.184;
108.85999;8.741;0.505;4.199;
108.869995;8.755;0.53;4.351;
108.88;8.771;0.59;4.362;
108.88999;8.878;0.768;4.369;
108.899994;8.915;0.804;4.3;
108.909996;8.983;0.736;4.247;
108.91999;8.922;0.753;4.254;
108.92999;8.731;0.714;4.338;
108.939995;8.624;0.719;4.301;
108.95;8.632;0.708;4.484;
108.95999;8.617;0.556;4.502;
108.96999;8.903;0.55;4.288;
108.98;8.94;0.432;4.318;
108.98999;8.946;0.451;4.351;
109.0;8.947;0.511;4.266;
109.01;8.729;0.815;4.298;
109.02;8.716;0.855;4.271;
109.03;8.69;0.82;4.368;
109.04;8.727;0.796;4.427;
109.05;8.799;0.731;4.235;
109.06;8.808;0.67;4.324;
109.07;8.809;0.747;4.291;
109.08;8.815;0.785;4.356;
109.09;8.721;0.787;4.343;
109.1;8.672;0.718;4.332;
109.11;8.755;0.738;4.38;
109.12;8.818;0.794;4.405;
109.13;8.934;0.86;4.394;
109.14;8.96;0.887;4.255;
109.15;8.906;0.863;4.254;
109.159996;8.894;0.899;4.298;
109.17;8.8;0.799;4.286;
109.18;8.839;0.75;4.319;
109.189995;8.857;0.656;4.3;
109.2;8.846;0.588;4.361;
109.21;8.909;0.608;4.296;
109.22;8.892;0.725;4.242;
109.229996;8.862;0.778;4.383;
109.24;8.819;0.848;4.331;
109.25;8.767;0.895;4.178;
109.259995;8.8;0.86;4.119;
109.27;8.794;0.87;4.157;
109.28;8.802;0.872;4.241;
109.28999;8.784;0.877;4.383;
109.299995;8.767;0.833;4.325;
109.31;8.764;0.779;4.459;
109.32;8.753;0.755;4.413;
109.329994;8.825;0.757;4.354;
109.34;8.827;0.798;4.298;
109.35;8.837;0.821;4.515;
109.35999;8.808;0.843;4.237;
109.369995;8.821;0.89;4.346;
109.38;8.819;0.817;4.203;
109.38999;8.816;0.798;4.239;
109.399994;8.87;0.764;4.289;
109.409996;8.843;0.8;4.218;
109.42;8.773;0.912;4.13;
109.42999;8.754;0.936;4.164;
109.439995;8.784;0.998;4.263;
109.45;8.837;0.899;4.325;
109.45999;8.778;0.797;4.312;
109.46999;8.782;0.727;4.19;
109.479996;8.821;0.721;4.215;
109.49;8.905;0.756;4.267;
109.49999;8.882;0.815;4.16;
109.509995;8.894;0.873;4.157;
109.52;8.881;0.954;4.162;
109.52999;8.903;1.053;4.225;
109.53999;8.913;1.03;4.318;
109.549995;8.891;0.988;4.309;
109.55999;8.857;0.87;4.28;
109.56999;8.861;0.738;4.271;
109.58;8.827;0.757;4.298;
109.590004;8.837;0.715;4.302;
109.6;8.826;0.741;4.404;
109.61;8.831;0.848;4.394;
109.62;8.836;0.934;4.422;
109.63;8.851;0.949;4.34;
109.64;8.826;0.919;4.331;
109.65;8.781;0.846;4.315;
109.659996;8.846;0.829;4.327;
109.67;8.794;0.809;4.325;
109.68;8.867;0.828;4.222;
109.69;8.894;0.883;4.283;
109.7;8.852;0.805;4.418;
109.71;8.837;0.796;4.397;
109.72;8.898;0.815;4.327;
109.729996;8.892;0.863;4.264;
109.74;8.936;0.894;4.215;
109.75;8.875;0.961;4.157;
109.76;8.86;0.998;4.211;
109.77;8.819;0.944;4.301;
109.78;8.84;0.896;4.251;
109.79;8.809;0.735;4.325;
109.799995;8.845;0.763;4.304;
109.81;8.856;0.836;4.168;
109.82;8.838;0.963;4.15;
109.829994;8.778;0.985;4.15;
109.84;8.82;0.809;4.303;
109.85;8.822;0.773;4.289;
109.86;8.821;0.782;4.224;
109.869995;8.899;0.832;4.169;
109.88;8.94;0.948;4.267;
109.89;8.862;0.94;4.209;
109.899994;8.815;0.913;4.241;
109.909996;8.84;0.876;4.203;
109.92;8.842;0.863;4.186;
109.92999;8.909;0.925;4.199;
109.939995;8.943;0.87;4.264;
109.95;8.937;0.86;4.243;
109.96;8.91;0.826;4.205;
109.96999;8.827;0.821;4.174;
109.979996;8.887;0.858;4.28;
109.99;8.918;0.797;4.352;
109.99999;8.863;0.842;4.31;
110.009995;8.867;0.79;4.343;
110.02;8.893;0.775;4.304;
110.02999;8.935;0.908;4.255;
110.03999;8.903;0.888;4.319;
110.049995;8.79;0.884;4.307;
110.06;8.763;0.903;4.389;
110.06999;8.775;0.847;4.339;
110.079994;8.781;0.9;4.249;
110.09;8.879;0.901;4.16;
110.09999;8.889;0.9;4.073;
110.10999;8.801;0.8;4.116;
110.119995;8.788;0.735;4.201;
110.13;8.717;0.663;4.157;
110.13999;8.776;0.681;4.156;
110.149994;8.816;0.735;4.182;
110.16;8.91;0.805;4.285;
110.16999;8.892;0.876;4.295;
110.18;8.951;0.902;4.282;
110.19;8.924;0.883;4.197;
110.2;8.939;0.798;4.235;
110.21;8.803;0.62;4.248;
110.22;8.807;0.602;4.336;
110.23;8.791;0.672;4.344;
110.24;8.815;0.749;4.277;
110.25;8.861;0.879;4.371;
110.26;8.852;0.809;4.439;
110.27;8.802;0.82;4.427;
110.28;8.769;0.803;4.272;
110.29;8.793;0.672;4.067;
110.299995;8.857;0.663;4.122;
110.31;8.869;0.675;4.133;
110.32;8.88;0.724;4.158;
110.33;8.795;0.858;4.185;
110.34;8.791;0.799;4.319;
110.35;8.807;0.877;4.304;
110.36;8.889;0.893;4.218;
110.369995;8.977;0.798;4.425;
110.38;8.855;0.815;4.46;
110.39;8.781;0.773;4.364;
110.4;8.782;0.736;4.259;
110.409996;8.812;0.697;4.344;
110.42;8.848;0.712;4.3;
110.43;8.915;0.703;4.175;
110.439995;8.94;0.677;4.194;
110.45;8.927;0.779;4.179;
110.46;8.964;0.811;4.149;
110.46999;8.94;0.86;4.233;
110.479996;8.897;0.894;4.191;
110.49;8.906;0.816;4.385;
110.5;8.796;0.763;4.418;
110.509995;8.776;0.776;4.385;
110.52;8.781;0.737;4.401;
110.53;8.763;0.75;4.291;
110.53999;8.784;0.791;4.351;
110.549995;8.905;0.846;4.332;
110.56;8.874;0.79;4.382;
110.56999;8.858;0.733;4.325;
110.579994;8.857;0.756;4.338;
110.59;8.87;0.744;4.263;
110.6;8.894;0.739;4.359;
110.60999;8.874;0.808;4.349;
110.619995;8.821;0.893;4.246;
110.63;8.861;0.957;4.055;
110.63999;8.84;0.909;4.116;
110.649994;8.731;0.646;4.228;
110.659996;8.706;0.604;4.228;
110.66999;8.724;0.549;4.406;
110.67999;8.724;0.62;4.448;
110.689995;8.789;0.894;4.462;
110.7;8.815;1.065;4.301;
110.70999;8.819;1.113;4.209;
110.71999;8.879;0.985;4.164;
110.729996;8.895;0.578;4.285;
110.73999;8.807;0.441;4.358;
110.74999;8.758;0.395;4.375;
110.76;8.757;0.478;4.336;
110.770004;8.828;0.751;4.365;
110.78;8.794;0.811;4.332;
110.79;8.749;0.713;4.345;
110.8;8.688;0.527;4.307;
110.81;8.712;0.348;4.227;
110.82;8.782;0.339;4.233;
110.83;8.851;0.433;4.274;
110.84;8.894;0.529;4.37;
110.85;8.825;0.724;4.502;
110.86;8.718;0.685;4.595;
110.87;8.727;0.596;4.644;
110.88;8.755;0.537;4.587;
110.89;8.866;0.547;4.163;
110.9;9.008;0.563;4.149;
110.909996;8.965;0.616;4.199;
110.92;8.917;0.6;4.337;
110.93;8.727;0.689;4.503;
110.939995;8.728;0.709;4.519;
110.95;8.816;0.743;4.579;
110.96;8.885;0.719;4.63;
110.97;8.895;0.551;4.534;
110.979996;8.882;0.464;4.413;
110.99;8.868;0.359;4.431;
111.0;8.783;0.26;4.545;
111.009995;8.655;0.252;4.538;
111.02;8.637;0.27;4.658;
111.03;8.614;0.28;4.62;
111.04;8.631;0.203;4.656;
111.049995;8.715;0.129;4.565;
111.06;8.691;0.084;4.655;
111.07;8.655;0.111;4.653;
111.079994;8.642;0.057;4.61;
111.09;8.634;0.197;4.656;
111.1;8.655;0.345;4.635;
111.10999;8.657;0.404;4.54;
111.119995;8.706;0.501;4.46;
111.13;8.754;0.556;4.529;
111.14;8.82;0.469;4.541;
111.149994;8.848;0.463;4.576;
111.159996;8.791;0.429;4.516;
111.17;8.703;0.307;4.507;
111.17999;8.675;0.19;4.527;
111.189995;8.643;0.129;4.535;
111.2;8.63;0.045;4.617;
111.20999;8.638;0.087;4.604;
111.21999;8.708;-0.002;4.599;
111.229996;8.733;-0.023;4.678;
111.24;8.748;0.016;4.683;
111.24999;8.682;0.038;4.686;
111.259995;8.676;0.053;4.688;
111.27;8.624;-0.003;4.716;
111.27999;8.606;-0.035;4.824;
111.28999;8.669;-0.14;4.752;
111.299995;8.667;-0.055;4.676;
111.30999;8.741;-0.075;4.744;
111.31999;8.761;0.004;4.689;
111.329994;8.648;0.142;4.843;
111.340004;8.629;0.047;4.898;
111.34999;8.626;0.022;4.859;
111.36;8.696;-0.014;4.757;
111.37;8.799;-0.131;4.734;
111.38;8.711;-0.138;4.837;
111.39;8.667;-0.135;4.824;
111.4;8.629;-0.076;4.769;
111.41;8.724;-0.004;4.75;
111.42;8.724;-0.05;4.738;
111.43;8.705;-0.021;4.686;
111.44;8.715;-0.049;4.68;
111.45;8.603;0.04;4.789;
111.46;8.565;0.104;4.802;
111.47;8.603;0.137;4.801;
111.479996;8.561;0.055;4.8;
111.49;8.533;-0.05;4.662;
111.5;8.596;-0.022;4.664;
111.51;8.62;-0.035;4.761;
111.52;8.619;-0.011;4.733;
111.53;8.638;-0.019;4.696;
111.54;8.614;-0.027;4.8;
111.549995;8.564;0.025;4.778;
111.56;8.566;0.046;4.807;
111.57;8.609;0.122;4.739;
111.579994;8.618;0.027;4.737;
111.59;8.668;-0.031;4.734;
111.6;8.596;-0.058;4.63;
111.61;8.593;-0.053;4.521;
111.619995;8.678;0.039;4.515;
111.63;8.74;0.026;4.527;
111.64;8.801;0.074;4.55;
111.649994;8.8;0.044;4.682;
111.659996;8.736;-0.001;4.591;
111.67;8.699;-0.166;4.573;
111.68;8.706;-0.258;4.531;
111.689995;8.649;-0.408;4.5;
111.7;8.709;-0.419;4.466;
111.71;8.74;-0.381;4.631;
111.71999;8.733;-0.313;4.731;
111.729996;8.741;-0.254;4.878;
111.74;8.783;-0.262;4.972;
111.74999;8.771;-0.252;4.929;
111.759995;8.773;-0.27;4.909;
111.77;8.761;-0.343;4.764;
111.78;8.694;-0.451;4.713;
111.78999;8.724;-0.535;4.756;
111.799995;8.673;-0.572;4.72;
111.81;8.593;-0.585;4.811;
111.81999;8.629;-0.551;4.831;
111.829994;8.62;-0.494;4.837;
111.84;8.603;-0.52;4.819;
111.84999;8.532;-0.47;4.825;
111.85999;8.496;-0.515;4.905;
111.869995;8.522;-0.549;4.995;
111.88;8.451;-0.598;4.94;
111.88999;8.472;-0.672;4.749;
111.899994;8.473;-0.778;4.708;
111.909996;8.38;-0.76;4.667;
111.91999;8.407;-0.677;4.848;
111.92999;8.499;-0.459;4.928;
111.939995;8.555;-0.395;4.99;
111.94999;8.558;-0.408;4.929;
111.96;8.575;-0.533;4.963;
111.97;8.503;-0.579;4.981;
111.98;8.528;-0.688;4.89;
111.99;8.559;-0.757;4.874;
112.0;8.606;-0.724;4.775;
112.01;8.644;-0.762;4.74;
112.02;8.619;-0.8;4.798;
112.03;8.576;-0.809;4.782;
112.04;8.642;-0.798;4.714;
112.05;8.849;-0.778;4.698;
112.06;8.863;-0.762;4.664;
112.07;8.843;-0.753;4.676;
112.08;8.796;-0.815;4.569;
112.09;8.564;-0.806;4.546;
112.1;8.54;-0.745;4.573;
112.11;8.554;-0.773;4.575;
112.119995;8.541;-0.723;4.617;
112.13;8.529;-0.758;4.715;
112.14;8.503;-0.745;4.782;
112.15;8.515;-0.666;4.875;
112.159996;8.541;-0.629;4.969;
112.17;8.502;-0.715;4.938;
112.18;8.504;-0.815;4.884;
112.189995;8.494;-0.871;4.916;
112.2;8.447;-0.902;4.883;
112.21;8.451;-0.939;4.855;
112.21999;8.443;-0.882;4.903;
112.229996;8.449;-0.928;4.838;
112.24;8.424;-0.931;4.953;
112.25;8.417;-1.075;4.883;
112.259995;8.437;-1.107;5.056;
112.27;8.427;-1.137;5.067;
112.28;8.505;-1.081;5.016;
112.28999;8.54;-1.037;5.062;
112.299995;8.551;-0.988;4.978;
112.31;8.526;-0.97;4.97;
